"","CASE_NBR","CREATED","CLOSED","STATUS","SUBJECT","REASON","TYPE","DESCRIPTION","LOCATION","ZIPCODE","address","LAT","LON"
"633",31425666,"2/12/2016 11:18:43 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","4545 SYCAMORE AVE, Sacramento, CA",95841,"4545 SYCAMORE AVE, Sacramento, CA, 95841",38.648131,-121.353565
"634",31425675,"2/12/2016 11:24:41 AM","","Open","311 Service Request","Transportation","Median Right of Way Landscape Complaints","Median Right of Way Landscape Complaints","4744 KATHYWOOD CT, Sacramento, CA",95628,"4744 KATHYWOOD CT, Sacramento, CA, 95628",38.643437,-121.268207
"635",31425737,"2/12/2016 12:24:15 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","3632 SUN MAIDEN WAY, Sacramento, CA",95843,"3632 SUN MAIDEN WAY, Sacramento, CA, 95843",38.709825,-121.379122
"636",31425745,"2/12/2016 12:33:26 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","8463 SUNRISE WOODS WAY, Sacramento, CA",95828,"8463 SUNRISE WOODS WAY, Sacramento, CA, 95828",38.473445,-121.391954
"637",31425856,"2/12/2016 1:59:44 PM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","3747 LENORE WAY, Sacramento, CA",95660,"3747 LENORE WAY, Sacramento, CA, 95660",38.657484,-121.377413
"638",31425872,"2/12/2016 2:12:07 PM","","Open","Open311","Remote Device","Illegal dumping","Illegal dumping - 108687","2590 ELVERTA RD, Sacramento, CA",95626,"2590 ELVERTA RD, Sacramento, CA, 95626",38.71428,-121.402014
"641",31425921,"2/12/2016 2:46:22 PM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","3840 44TH AVE, Sacramento, CA",95824,"3840 44TH AVE, Sacramento, CA, 95824",38.512993,-121.464146
"643",31425975,"2/12/2016 3:21:47 PM","","Open","311 Service Request","Transportation","Graffiti Private Property","Graffiti Private Property","5365 DEWEY DR, Sacramento, CA",95628,"5365 DEWEY DR, Sacramento, CA, 95628",38.66296,-121.30855
"644",31426006,"2/12/2016 3:45:47 PM","","Open","311 Service Request","Transportation","Other","Transportation - Other","6337 MERTON WAY, Sacramento, CA",95842,"6337 MERTON WAY, Sacramento, CA, 95842",38.681494,-121.347583
"645",31426025,"2/12/2016 3:58:37 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","5240 HILLSDALE BLVD, Sacramento, CA",95842,"5240 HILLSDALE BLVD, Sacramento, CA, 95842",38.661882,-121.3643
"646",31426042,"2/12/2016 4:16:31 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","1843 ASCOT AVE, Sacramento, CA",95673,"1843 ASCOT AVE, Sacramento, CA, 95673",38.66912,-121.424086
"647",31426043,"2/12/2016 4:17:37 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","1633 I ST, Sacramento, CA",95673,"1633 I ST, Sacramento, CA, 95673",38.683676,-121.428406
"650",31426080,"2/12/2016 5:01:54 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","5605 KENNETH AVE,Unit B, Sacramento, CA",95608,"5605 KENNETH AVE,Unit B, Sacramento, CA, 95608",38.613517,-121.334099
"651",31426092,"2/12/2016 5:12:57 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","4743 MARCONI AVE,Unit 8, Sacramento, CA",95608,"4743 MARCONI AVE,Unit 8, Sacramento, CA, 95608",38.617529,-121.354184
"653",31426115,"2/12/2016 6:44:29 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","1895 HOWE AVE, Sacramento, CA",95825,"1895 HOWE AVE, Sacramento, CA, 95825",38.599877,-121.415362
"654",31426118,"2/12/2016 7:12:16 PM","","Open","Open311","Remote Device","Public right of way","Public right of way - 108731","4167 EDISON AVE, Sacramento, CA",95821,"4167 EDISON AVE, Sacramento, CA, 95821",38.634083,-121.367117
"655",31426125,"2/12/2016 7:53:44 PM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","6420 COLETTE WAY, Sacramento, CA",95660,"6420 COLETTE WAY, Sacramento, CA, 95660",38.68351,-121.366446
"656",31426144,"2/12/2016 10:19:51 PM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","3927 42ND ST, Sacramento, CA",95820,"3927 42ND ST, Sacramento, CA, 95820",38.539139,-121.457456
"657",31426145,"2/12/2016 10:22:13 PM","","Open","Open311","Remote Device","Other","Other - 108745","4101 EASTWOOD ST, Sacramento, CA",95628,"4101 EASTWOOD ST, Sacramento, CA, 95628",38.643437,-121.268207
"661",31426204,"2/13/2016 10:02:28 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108802","4100 SCRANTON CIR, Sacramento, CA",95608,"4100 SCRANTON CIR, Sacramento, CA, 95608",38.642523,-121.329432
"662",31426205,"2/13/2016 10:02:29 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108799","4258 HACKBERRY LN, Sacramento, CA",95608,"4258 HACKBERRY LN, Sacramento, CA, 95608",38.64201,-121.332022
"663",31426206,"2/13/2016 10:02:30 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108800","4183 SCRANTON CIR, Sacramento, CA",95608,"4183 SCRANTON CIR, Sacramento, CA, 95608",38.641917,-121.330556
"664",31426207,"2/13/2016 10:02:30 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108804","5828 LOCUST AVE, Sacramento, CA",95608,"5828 LOCUST AVE, Sacramento, CA, 95608",38.642441,-121.329088
"665",31426208,"2/13/2016 10:02:31 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108805","5945 ADANA CIR, Sacramento, CA",95608,"5945 ADANA CIR, Sacramento, CA, 95608",38.64198,-121.327417
"666",31426211,"2/13/2016 10:10:20 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108807","4243 MANZANITA AVE, Sacramento, CA",95608,"4243 MANZANITA AVE, Sacramento, CA, 95608",38.640935,-121.328
"667",31426212,"2/13/2016 10:12:07 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108810","4141 MANZANITA AVE,Unit 120, Sacramento, CA",95608,"4141 MANZANITA AVE,Unit 120, Sacramento, CA, 95608",38.639538,-121.328033
"668",31426213,"2/13/2016 10:12:07 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108808","4221 MANZANITA AVE, Sacramento, CA",95608,"4221 MANZANITA AVE, Sacramento, CA, 95608",38.640714,-121.328005
"669",31426214,"2/13/2016 10:12:07 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108812","4141 MANZANITA AVE,Unit 130, Sacramento, CA",95608,"4141 MANZANITA AVE,Unit 130, Sacramento, CA, 95608",38.639538,-121.328033
"670",31426215,"2/13/2016 10:12:08 AM","","Open","Open311","Remote Device","Abandoned vehicle","Abandoned Vehicle - 108809","4344 GREENHOLME DR,Unit 19, Sacramento, CA",95842,"4344 GREENHOLME DR,Unit 19, Sacramento, CA, 95842",38.669891,-121.362273
"671",31426216,"2/13/2016 10:12:10 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108813","4141 MANZANITA AVE,Unit 140, Sacramento, CA",95608,"4141 MANZANITA AVE,Unit 140, Sacramento, CA, 95608",38.639538,-121.328033
"672",31426217,"2/13/2016 10:12:10 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108814","4141 MANZANITA AVE,Unit 125A, Sacramento, CA",95608,"4141 MANZANITA AVE,Unit 125A, Sacramento, CA, 95608",38.639538,-121.328033
"673",31426218,"2/13/2016 10:20:20 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108816","4049 MANZANITA AVE, Sacramento, CA",95608,"4049 MANZANITA AVE, Sacramento, CA, 95608",38.638377,-121.328063
"674",31426219,"2/13/2016 10:20:20 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108815","4049 MANZANITA AVE, Sacramento, CA",95608,"4049 MANZANITA AVE, Sacramento, CA, 95608",38.638377,-121.328063
"675",31426225,"2/13/2016 10:32:06 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108817","5714 LOCUST AVE, Sacramento, CA",95608,"5714 LOCUST AVE, Sacramento, CA, 95608",38.642474,-121.33146
"676",31426226,"2/13/2016 10:32:09 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108819","4049 MANZANITA AVE, Sacramento, CA",95608,"4049 MANZANITA AVE, Sacramento, CA, 95608",38.638377,-121.328063
"677",31426233,"2/13/2016 10:42:10 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108822","5724 CYPRESS AVE, Sacramento, CA",95608,"5724 CYPRESS AVE, Sacramento, CA, 95608",38.638904,-121.330471
"678",31426234,"2/13/2016 10:42:10 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108824","5724 CYPRESS AVE, Sacramento, CA",95608,"5724 CYPRESS AVE, Sacramento, CA, 95608",38.638904,-121.330471
"679",31426235,"2/13/2016 10:42:10 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108821","5801 CYPRESS AVE, Sacramento, CA",95608,"5801 CYPRESS AVE, Sacramento, CA, 95608",38.638898,-121.329942
"680",31426237,"2/13/2016 10:42:13 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108826","5709 CYPRESS AVE, Sacramento, CA",95608,"5709 CYPRESS AVE, Sacramento, CA, 95608",38.638997,-121.33194
"681",31426238,"2/13/2016 10:42:13 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108825","5710 CYPRESS AVE, Sacramento, CA",95608,"5710 CYPRESS AVE, Sacramento, CA, 95608",38.638996,-121.331915
"682",31426239,"2/13/2016 10:50:52 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","4901 LITTLE OAK LN,Unit 116, Sacramento, CA",95841,"4901 LITTLE OAK LN,Unit 116, Sacramento, CA, 95841",38.653618,-121.347138
"683",31426241,"2/13/2016 10:52:09 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108830","4258 HACKBERRY LN, Sacramento, CA",95608,"4258 HACKBERRY LN, Sacramento, CA, 95608",38.64201,-121.332022
"684",31426242,"2/13/2016 10:52:09 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108832","4258 HACKBERRY LN, Sacramento, CA",95608,"4258 HACKBERRY LN, Sacramento, CA, 95608",38.64201,-121.332022
"685",31426243,"2/13/2016 10:52:10 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108827","5636 VALL CT, Sacramento, CA",95608,"5636 VALL CT, Sacramento, CA, 95608",38.64105,-121.33362
"686",31426244,"2/13/2016 10:52:12 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108828","5645 VALL CT, Sacramento, CA",95608,"5645 VALL CT, Sacramento, CA, 95608",38.641197,-121.333482
"687",31426247,"2/13/2016 11:02:09 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108834","5644 WINDING WAY, Sacramento, CA",95608,"5644 WINDING WAY, Sacramento, CA, 95608",38.647938,-121.333526
"688",31426248,"2/13/2016 11:02:10 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108835","5736 WINDING WAY, Sacramento, CA",95608,"5736 WINDING WAY, Sacramento, CA, 95608",38.648065,-121.331637
"689",31426249,"2/13/2016 11:02:12 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108833","4736 HIXON CIR, Sacramento, CA",95608,"4736 HIXON CIR, Sacramento, CA, 95608",38.650278,-121.337349
"690",31426250,"2/13/2016 11:10:20 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108838","5746 WINDMILL WAY, Sacramento, CA",95608,"5746 WINDMILL WAY, Sacramento, CA, 95608",38.647901,-121.330471
"691",31426251,"2/13/2016 11:10:20 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108839","5746 WINDMILL WAY, Sacramento, CA",95608,"5746 WINDMILL WAY, Sacramento, CA, 95608",38.647901,-121.330471
"692",31426253,"2/13/2016 11:12:04 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108841","5801 WINDING WAY,Unit 1, Sacramento, CA",95608,"5801 WINDING WAY,Unit 1, Sacramento, CA, 95608",38.647937,-121.331016
"693",31426254,"2/13/2016 11:12:05 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108840","5801 WINDING WAY,Unit 1, Sacramento, CA",95608,"5801 WINDING WAY,Unit 1, Sacramento, CA, 95608",38.647937,-121.331016
"694",31426255,"2/13/2016 11:12:05 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108843","4625 MANZANITA AVE, Sacramento, CA",95608,"4625 MANZANITA AVE, Sacramento, CA, 95608",38.648227,-121.327779
"695",31426259,"2/13/2016 11:22:07 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108847","4448 HACKBERRY LN, Sacramento, CA",95608,"4448 HACKBERRY LN, Sacramento, CA, 95608",38.645786,-121.331992
"696",31426260,"2/13/2016 11:22:08 AM","","Open","Open311","Remote Device","Public right of way","Public right of way - 108846","5635 MOUNT EVEREST CT, Sacramento, CA",95842,"5635 MOUNT EVEREST CT, Sacramento, CA, 95842",38.695003,-121.331969
"697",31426286,"2/13/2016 1:32:08 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 108871","6412 EVEREST WAY, Sacramento, CA",95842,"6412 EVEREST WAY, Sacramento, CA, 95842",38.682286,-121.343794
"698",31426287,"2/13/2016 1:32:11 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108873","5001 BURNBRAE PL, Sacramento, CA",95843,"5001 BURNBRAE PL, Sacramento, CA, 95843",38.717886,-121.348217
"699",31426292,"2/13/2016 1:40:19 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108874","6960 STANFORD OAK DR, Sacramento, CA",95842,"6960 STANFORD OAK DR, Sacramento, CA, 95842",38.69179,-121.328125
"700",31426293,"2/13/2016 1:42:09 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108877","6922 WAXWING WAY, Sacramento, CA",95842,"6922 WAXWING WAY, Sacramento, CA, 95842",38.691396,-121.351626
"701",31426294,"2/13/2016 1:42:12 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108875","6344 VERNER AVE, Sacramento, CA",95841,"6344 VERNER AVE, Sacramento, CA, 95841",38.681954,-121.33377
"703",31426300,"2/13/2016 2:30:23 PM","","Open","Open311","Remote Device","Other","Other - 108880","2405 BELL ST, Sacramento, CA",95825,"2405 BELL ST, Sacramento, CA, 95825",38.610012,-121.410738
"704",31426303,"2/13/2016 2:40:00 PM","","Open","311 Service Request","Transportation","Traffic Sign Complaints","Traffic Sign Complaints","7849 STOCKTON BLVD, Sacramento, CA",95828,"7849 STOCKTON BLVD, Sacramento, CA, 95828",38.460318,-121.411786
"706",31426318,"2/13/2016 3:52:11 PM","","Open","Open311","Remote Device","Road traffic sign","Road traffic sign - 108889","1266 HOWE AVE, Sacramento, CA",95825,"1266 HOWE AVE, Sacramento, CA, 95825",38.588276,-121.415239
"707",31426329,"2/13/2016 4:32:05 PM","","Open","Open311","Remote Device","Pothole","Pothole - 108895","4400 PENNSYLVANIA AVE, Sacramento, CA",95628,"4400 PENNSYLVANIA AVE, Sacramento, CA, 95628",38.643437,-121.268207
"708",31426335,"2/13/2016 4:56:29 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","1201 WATT AVE, Sacramento, CA",95864,"1201 WATT AVE, Sacramento, CA, 95864",38.587286,-121.383096
"710",31426359,"2/13/2016 6:02:13 PM","","Open","Open311","Remote Device","Abandoned vehicle","Abandoned Vehicle - 108904","6896 BRIGGS DR, Sacramento, CA",95828,"6896 BRIGGS DR, Sacramento, CA, 95828",38.502809,-121.419245
"712",31426409,"2/14/2016 7:19:55 AM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","8796 KENTSHIRE WAY, Sacramento, CA",95828,"8796 KENTSHIRE WAY, Sacramento, CA, 95828",38.458798,-121.375965
"713",31426418,"2/14/2016 8:52:09 AM","","Open","Open311","Remote Device","Pothole","Pothole - 108945","454 CROCKER RD, Sacramento, CA",95864,"454 CROCKER RD, Sacramento, CA, 95864",38.571638,-121.392838
"714",31426425,"2/14/2016 9:22:10 AM","","Open","Open311","Remote Device","Pothole","Pothole - 108950","3381 SIERRA OAKS DR, Sacramento, CA",95864,"3381 SIERRA OAKS DR, Sacramento, CA, 95864",38.57068,-121.387874
"715",31426433,"2/14/2016 10:25:29 AM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","10801 CALVINE RD, Sacramento, CA",95830,"10801 CALVINE RD, Sacramento, CA, 95830",38.452662,-121.28549
"716",31426450,"2/14/2016 11:21:28 AM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","8137 WOOD MILL PL, Sacramento, CA",95843,"8137 WOOD MILL PL, Sacramento, CA, 95843",38.715945,-121.392271
"717",31426454,"2/14/2016 11:30:25 AM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","3519 GRANT PARK DR, Sacramento, CA",95608,"3519 GRANT PARK DR, Sacramento, CA, 95608",38.627797,-121.326478
"718",31426455,"2/14/2016 11:32:09 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108973","4813 CLYDEBANK WAY, Sacramento, CA",95843,"4813 CLYDEBANK WAY, Sacramento, CA, 95843",38.714971,-121.347417
"719",31426456,"2/14/2016 11:32:09 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108971","8038 GOLDEN VISTA WAY, Sacramento, CA",95843,"8038 GOLDEN VISTA WAY, Sacramento, CA, 95843",38.715888,-121.344009
"720",31426463,"2/14/2016 11:42:07 AM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108976","4833 CLYDEBANK WAY, Sacramento, CA",95843,"4833 CLYDEBANK WAY, Sacramento, CA, 95843",38.71463,-121.34751
"721",31426472,"2/14/2016 12:00:18 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108983","8149 HEARTH PL, Sacramento, CA",95843,"8149 HEARTH PL, Sacramento, CA, 95843",38.71769,-121.345612
"722",31426475,"2/14/2016 12:12:08 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 108990","5208 HEARTLAND DR, Sacramento, CA",95843,"5208 HEARTLAND DR, Sacramento, CA, 95843",38.71713,-121.343829
"723",31426479,"2/14/2016 12:21:00 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","9221 CORINTHIAN CIR, Sacramento, CA",95826,"9221 CORINTHIAN CIR, Sacramento, CA, 95826",38.564346,-121.355083
"725",31426497,"2/14/2016 1:16:10 PM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","4506 MERGANSER CT, Sacramento, CA",95842,"4506 MERGANSER CT, Sacramento, CA, 95842",38.693153,-121.359322
"726",31426510,"2/14/2016 2:12:11 PM","","Open","Open311","Remote Device","Abandoned vehicle","Abandoned Vehicle - 109019","5070 HILLSDALE BLVD, Sacramento, CA",95842,"5070 HILLSDALE BLVD, Sacramento, CA, 95842",38.659119,-121.36432
"727",31426528,"2/14/2016 3:12:05 PM","","Open","Open311","Remote Device","Abandoned vehicle","Abandoned Vehicle - 109036","4250 MADISON AVE, Sacramento, CA",95660,"4250 MADISON AVE, Sacramento, CA, 95660",38.660999,-121.36552
"729",31426539,"2/14/2016 4:23:28 PM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","2171 GLANCY CT, Sacramento, CA",95608,"2171 GLANCY CT, Sacramento, CA, 95608",38.604648,-121.343116
"730",31426552,"2/14/2016 5:12:07 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 109049","5041 CUMBRAE ISLE WAY, Sacramento, CA",95843,"5041 CUMBRAE ISLE WAY, Sacramento, CA, 95843",38.715697,-121.347171
"731",31426555,"2/14/2016 5:20:21 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 109054","4817 MORGAN OAK WAY, Sacramento, CA",95843,"4817 MORGAN OAK WAY, Sacramento, CA, 95843",38.71794,-121.352252
"732",31426557,"2/14/2016 5:20:22 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 109051","4924 FAWNRIDGE CT, Sacramento, CA",95843,"4924 FAWNRIDGE CT, Sacramento, CA, 95843",38.718845,-121.350205
"733",31426562,"2/14/2016 5:32:10 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 109056","8229 MULRANY WAY, Sacramento, CA",95843,"8229 MULRANY WAY, Sacramento, CA, 95843",38.718618,-121.355716
"734",31426590,"2/14/2016 8:03:34 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","7825 GREENRIDGE WAY, Sacramento, CA",95628,"7825 GREENRIDGE WAY, Sacramento, CA, 95628",38.643437,-121.268207
"735",31426592,"2/14/2016 9:10:22 PM","","Open","Open311","Remote Device","Pothole","Pothole - 109068","6900 WOODSIDE DR, Sacramento, CA",95842,"6900 WOODSIDE DR, Sacramento, CA, 95842",38.691683,-121.330323
"736",31426593,"2/14/2016 9:12:07 PM","","Open","Open311","Remote Device","Pothole","Pothole - 109069","5743 LANCELOT DR, Sacramento, CA",95842,"5743 LANCELOT DR, Sacramento, CA, 95842",38.690764,-121.331369
"737",31426594,"2/14/2016 9:12:08 PM","","Open","Open311","Remote Device","Pothole","Pothole - 109070","5553 WOODFOREST DR, Sacramento, CA",95842,"5553 WOODFOREST DR, Sacramento, CA, 95842",38.690209,-121.334514
"739",31426604,"2/15/2016 12:52:08 AM","","Open","Open311","Remote Device","Traffic light","Traffic light - 109074","5925 RAMPART DR,Unit 41, Sacramento, CA",95608,"5925 RAMPART DR,Unit 41, Sacramento, CA, 95608",38.647887,-121.325082
"740",31426605,"2/15/2016 1:12:06 AM","","Open","Open311","Remote Device","Street lighting","Street lighting - 109075","6121 MARTIN LUTHER KING JR BLVD, Sacramento, CA",95824,"6121 MARTIN LUTHER KING JR BLVD, Sacramento, CA, 95824",38.514967,-121.46454
"741",31426606,"2/15/2016 1:12:06 AM","","Open","Open311","Remote Device","Street lighting","Street lighting - 109076","6200 39TH ST, Sacramento, CA",95824,"6200 39TH ST, Sacramento, CA, 95824",38.513988,-121.462752
"742",31426615,"2/15/2016 4:52:14 AM","","Open","Open311","Remote Device","Street lighting","Street lighting - 109081","8564 VINTAGE PARK DR, Sacramento, CA",95828,"8564 VINTAGE PARK DR, Sacramento, CA, 95828",38.460324,-121.381077
"743",31426626,"2/15/2016 7:43:25 AM","","Open","311 Service Request","Transportation","Pothole Sidewalk Complaints","Pothole Sidewalk Complaints","8101 HAYSTACK DR, Sacramento, CA",95828,"8101 HAYSTACK DR, Sacramento, CA, 95828",38.477561,-121.408752
"745",31426682,"2/15/2016 9:22:10 AM","","Open","Open311","Remote Device","Pothole","Pothole - 109110","3300 SIERRA OAKS DR, Sacramento, CA",95864,"3300 SIERRA OAKS DR, Sacramento, CA, 95864",38.572216,-121.389411
"746",31426683,"2/15/2016 9:22:11 AM","","Open","Open311","Remote Device","Pothole","Pothole - 109112","3300 SIERRA OAKS DR, Sacramento, CA",95864,"3300 SIERRA OAKS DR, Sacramento, CA, 95864",38.572216,-121.389411
"747",31426684,"2/15/2016 9:22:11 AM","","Open","Open311","Remote Device","Pothole","Pothole - 109113","8052 CAYMUS DR, Sacramento, CA",95829,"8052 CAYMUS DR, Sacramento, CA, 95829",38.46503,-121.364498
"748",31426724,"2/15/2016 9:58:27 AM","","Open","311 Service Request","Transportation","Pothole Sidewalk Complaints","Pothole Sidewalk Complaints","5957 SARAH CT, Sacramento, CA",95608,"5957 SARAH CT, Sacramento, CA, 95608",38.604454,-121.327305
"749",31426732,"2/15/2016 10:12:09 AM","","Open","Open311","Remote Device","Illegal dumping","Illegal dumping - 109118","3859 WOODCREST RD, Sacramento, CA",95821,"3859 WOODCREST RD, Sacramento, CA, 95821",38.62477,-121.37463
"750",31426764,"2/15/2016 10:46:13 AM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","9127 GREENBACK LN,Unit 08, Sacramento, CA",95662,"9127 GREENBACK LN,Unit 08, Sacramento, CA, 95662",38.678298,-121.215351
"751",31426780,"2/15/2016 11:05:45 AM","","Open","311 Service Request","Environmental - Health","Commercial Noise Complaints","Commercial Noise Complaints","5030 ANTELOPE RD, Sacramento, CA",95843,"5030 ANTELOPE RD, Sacramento, CA, 95843",38.703947,-121.337924
"752",31426794,"2/15/2016 11:30:12 AM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","5158 RHODE ISLAND DR, Sacramento, CA",95841,"5158 RHODE ISLAND DR, Sacramento, CA, 95841",38.659784,-121.333541
"754",31426930,"2/15/2016 2:12:54 PM","","Open","311 Service Request","Transportation","Other","Transportation - Other","7321 SANTA JUANITA AVE, Sacramento, CA",95662,"7321 SANTA JUANITA AVE, Sacramento, CA, 95662",38.674624,-121.193101
"755",31426950,"2/15/2016 2:33:12 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","4516 SIERRA VIEW WAY, Sacramento, CA",95628,"4516 SIERRA VIEW WAY, Sacramento, CA, 95628",38.643437,-121.268207
"756",31426963,"2/15/2016 2:53:25 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","2246 RAILWAY CIR, Sacramento, CA",95670,"2246 RAILWAY CIR, Sacramento, CA, 95670",38.619752,-121.257397
"757",31426975,"2/15/2016 3:17:07 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","238 TEJON AVE, Sacramento, CA",95673,"238 TEJON AVE, Sacramento, CA, 95673",38.699834,-121.460454
"758",31426996,"2/15/2016 3:46:23 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","8725 LA RIVIERA DR,Unit 123, Sacramento, CA",95826,"8725 LA RIVIERA DR,Unit 123, Sacramento, CA, 95826",38.564247,-121.382152
"759",31427029,"2/15/2016 4:42:12 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 109195","5028 TACOMIC DR, Sacramento, CA",95842,"5028 TACOMIC DR, Sacramento, CA, 95842",38.68249,-121.346584
"760",31427035,"2/15/2016 4:55:41 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","7520 FAIR OAKS BLVD, Sacramento, CA",95608,"7520 FAIR OAKS BLVD, Sacramento, CA, 95608",38.636871,-121.32632
"761",31427039,"2/15/2016 5:02:29 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 109198","5781 OLD ANTELOPE NORTH RD, Sacramento, CA",95843,"5781 OLD ANTELOPE NORTH RD, Sacramento, CA, 95843",38.708088,-121.330694
"762",31427040,"2/15/2016 5:02:30 PM","","Open","Open311","Remote Device","Graffiti","Graffiti - 109197","5755 ANTELOPE NORTH RD, Sacramento, CA",95843,"5755 ANTELOPE NORTH RD, Sacramento, CA, 95843",38.70733,-121.331432
"763",31427055,"2/15/2016 5:22:50 PM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","8208 PINTO CT, Sacramento, CA",95843,"8208 PINTO CT, Sacramento, CA, 95843",38.71826,-121.38548
